"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"187","","0.5","1.1","1.1","30.5","0","46.5","32.5","1.8","8.5","10.5","2.7","12.3","63.2","0","0","32.2","243.4"
"191","LH.1681808.rep1","SPOHET","KOEMAC","AMOCAN","AGANEP","CXBLAN","CXBICK","SORNUT","SCHSCO","POLBIC","BRIEUP","OLIRIG","CXNORM","CASCOC","LIASPI","CEAAME","GL","Total B"
"192","","0","44.2","3.4","203.2","12.5","4.6","25","2.9","0","0","1.9","30.5","0","179.6","0","0","507.8"
"200","LL.567931.rep1","DODMEA","BLECIL","VERSTR","PENDIG","CXNORM","CXBICK","CXMOLE","PYCTEN","RUEHUM","EUPCOR","VERMIS","SISANG","PYCVIR","RUDHIR","CXANNE","GL","Total B"
"201","","0","24.8","0.1","139","16.1","1.9","49.1","163.8","0","0.9","0","19.2","79.6","0.7","78.9","13.2","587.3"
"204","MH.1987913.rep1","HIEODO","HEURIC","DALPUR","EUTGRA","SOLNEM","TRAOHI","CXBLAN","ROSCAR","CAMSCI","PANVIR","ANDGER","MONBRA","ALLCER","PARINT","JUNDUD","GL","Total B"
"205","","10.7","21.6","0","174","26","11.9","20.5","1.5","0","41.7","3.3","36.5","0","25.5","6.2","19.7","399.1"
"208","HH.1709432.rep1","ROSSET","ASCTUB","THADAS","AGANEP","JUNDUD","HELMOL","TRAOHI","HELHEL","BAPBRA","POLREP","MAIRAC","ZIZAPT","CEAAME","VIOPDF","ERASPE","GL","Total B"
"209","","1.4","3.7","29.5","171.1","2.8","400.6","35.7","8.3","0.4","5.5","0","25.6","5.9","0","1.8","55.5","747.8"
"219","MH.75072.rep1","ASCVER","MAIRAC","DESCAN","BAPBRA","AGATEN","ASCSUL","PHYVIR","SOLNEM","LILMIC","DSMILL","SILTER","CASCOC","BROKAL","HELSTR","CXBLAN","GL","Total B"
"220","","0.5","0","20.3","2.8","0.2","6.5","123","25.1","0","0.9","1.7","0","0.2","0","6.9","18.5","206.6"
"224","HH.623705.rep1","VIOPDF","CEAAME","JUNTEN","ZIZAUR","HYPPYR","SISANG","ERYYUC","ZIZAPT","ALLCAN","AMOCAN","CHAFAS","SILTER","CASCOC","ERASPE","POLBIC","GL","Total B"
"225","","0.4","0.2","0","0","0.1","0","0","160","0","0","0","0","0","0","0","26","186.7"
"233","LH.236970.rep1","BAPBRA","CHAFAS","BRIEUP","AGANEP","SORNUT","LIAASP","ELYCAN","CASCOC","BOUCUR","AMOCAN","CXANNE","LIAPYC","ERYYUC","PANVIR","CXBLAN","GL","Total B"
"234","","0.3","0","0","221.4","49.6","0","29.2","0","9.8","0","44.9","38.5","22.5","6","4","0","426.2"
"241","HL.1817876.rep1","POLBIC","MONBRA","DALPUR","PARINT","HYPPUN","TEUCAN","ANECYL","AGASCR","EUPCOR","GENAND","ASCSYR","ANDGER","PHLPIL","SENHEB","CEAAME","GL","Total B"
"242","","0","97.8","0","34.9","0","24.6","0","132","0","2.7","0","0","0","8.8","1.3","0","302.1"
"251","ML.628076.rep1","POTARU","VIOPDF","POLREP","PYCPIL","SYMERI","CAMROT","PHLPIL","SYMOOL","MONBRA","DALPUR","OENPIL","CXANNE","ELYCAN","RUDSUB","SCHSCO","GL","Total B"
"252","","-0.1","0","0","72","885.9","0","-0.1","80","28.7","0.8","44.7","28.3","54.7","55.8","1","38.8","1290.5"
"259","LL.660073.rep1","PANVIR","PYCVIR","JUNDUD","CAMROT","DESILL","MONBRA","SOLNEM","CXBICK","ASTCAN","HELOCC","SCHSCO","CORPAL","ERYYUC","VERVIR","CXBREV","GL","Total B"
"260","","60","7.1","11.5","0","2.1","3.8","11.1","5.2","90","328.7","10","117.2","17.5","1.9","4.9","22.7","693.7"
"268","HL.275733.rep1","ZIZAPT","BROKAL","OENPIL","JUNINT","ANECAN","SENMAR","SENHEB","HYPPUN","MONFIS","SISANG","ROSCAR","POTARU","BAPALB","CXBICK","VERVIR","GL","Total B"
"269","","40.2","41.3","2.8","1.3","11.2","0","0.2","0","103.4","12.8","25.9","5.7","0.3","67.2","11.7","29.3","353.3"
"276","HL.1403369.rep2","SILINT","ZIZAPT","GENAND","ZIZAUR","LESCAP","ALLCER","KOEMAC","ANECYL","VIOPDF","VERFAS","PARINT","PYCVIR","POLBIC","POTARU","HEURIC","GL","Total B"
"277","","114","61.6","3.3","139.8","2.9","0","33","6.7","0","37.2","19.7","25.8","0","32.1","0.8","17","493.9"
"281","LH.1211957.rep2","ECHPUR","SYMLAE","CASCOC","PENHIR","AGASCR","AGATEN","SCHSCO","ECHPAL","HYPPUN","ELYCAN","THADAS","AGANEP","LILMIC","SORNUT","ERASPE","GL","Total B"
"282","","36.3","3.4","0","71.7","40.6","0","2.5","32.8","0","150.2","9.9","301.8","0","36.6","3.6","94","783.4"
"289","ML.585975.rep2","CXNORM","BAPALB","EUPALT","VERMIS","EUPCOR","PHLPIL","CXGRAV","GENAND","DALPUR","BRIEUP","MONBRA","PHYVIR","HYPPYR","CEAAME","ALLCAN","GL","Total B"
"290","","48.9","0","5.2","12.6","0.6","0","45.5","7.8","0.8","1.1","15.5","81.1","0.2","0.7","0","15.9","235.9"
"296","LH.1773854.rep2","ASCHIR","ERASPE","DSMILL","BAPALB","ANDGER","HELPAU","SPOHET","PENDIG","RUDFUL","SORNUT","DESILL","PENHIR","ROSSET","SENMAR","ASCVER","GL","Total B"
"297","","0","0.7","0","0","0.8","268.7","0.6","0","212","0","0","47.5","0","0","3.9","16","550.2"
