"","plot","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvipercent.1","gndvipercent.1","gdvi2percent.1","ndvipercent.25","gndvipercent.25","gdvi2percent.25","ndviavg.1","gndviavg.1","gdvi2avg.1"
"33",33,0.638033310077068,0.626376222599414,0.891019687234148,2462.11533364727,2556.24575755839,11543.29415118,7325.15175195155,0.999892588614393,1,0.999919443623963,0.999006444683136,0.999973147153598,0.999892591498617,0.638096737802326,0.626376222599414,0.891086018381518
"34",34,0.731574449761093,0.688993525575778,0.942913973338602,2011.95971744449,2513.29424168854,14455.5403902839,8223.45249433484,1,1,1,0.999920021327646,1,1,0.731574449761093,0.688993525575778,0.942913973338602
"35",35,0.67823062110336,0.646553862481149,0.916125371451668,2317.62291773395,2696.23087613465,12982.9276697211,8316.67633962996,1,1,1,0.999795081967213,0.999897540983607,1,0.67823062110336,0.646553862481149,0.916125371451668
"36",36,0.686631733267277,0.637028187432538,0.921969074387918,2135.17327751547,2664.32974924919,12493.6025582393,8003.82488141585,1,1,1,0.999404034685181,0.999970201734259,1,0.686631733267277,0.637028187432538,0.921969074387918
"37",37,0.689134233774504,0.606358135949097,0.923514605523514,2369.71488467554,3256.99439491823,13564.9858574469,9324.77084998752,0.999970328170435,1,1,0.998724111328705,0.99994065634087,0.999970328170435,0.689152136164275,0.606358135949097,0.923514605523514
"38",38,0.617725263004236,0.570498027344279,0.863315333831346,2555.91113194057,3035.16488181341,11679.3483981541,8383.93896419707,1,1,1,0.999315476190476,0.999791666666667,1,0.617725263004236,0.570498027344279,0.863315333831346
"39",39,0.731220195812364,0.651306298649423,0.943503372310646,2685.27834464704,3632.56408470604,16740.04712236,11843.0493012126,1,1,1,0.999968377446795,0.99987350978718,1,0.731220195812364,0.651306298649423,0.943503372310646
"40",40,0.440382035324695,0.491323856101368,0.724089312165357,2465.12418848863,2183.78831036666,6575.96008564916,5070.1209906177,1,1,1,0.999429748138761,1,1,0.440382035324695,0.491323856101368,0.724089312165357
"41",41,0.781155311153628,0.727056555257407,0.96817663094046,2077.60373011289,2697.8123729046,17272.3300380024,12085.8455523722,1,1,1,1,1,1,0.781155311153628,0.727056555257407,0.96817663094046
"42",42,0.734823252677765,0.667782535487821,0.946457409991937,2254.89504998399,3019.87010831263,15287.3336576604,10464.6100919814,1,1,1,1,1,1,0.734823252677765,0.667782535487821,0.946457409991937
