Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Euthamia_graminifolia,0.5349,424.3,12.8,1.48,46.39,0.14,497.6,0.14,82.79,4.78,0.26,0.32,0.92,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,7,FACW,1.7
Fragaria_virginiana,0.4448,269,333,1.5,44.57,0.33,196,0.45,19.25,7.53,0.23,10.28,58.38,hemicryptophytes,C3,1,1,0,0,0,1,1,0,F,0,3,4,FACU,1.9
Gentiana_andrewsii,0.0543,430,118.6,2.12,46.48,0.12,454.9,0.32,60.96,3.93,0.22,1.39,0.94,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,8,FACW,7.5
Helenium_autumnale,0.5,253.9,145.8,1.68,47.19,0.14,374.9,0.33,111.63,6.53,0.34,1.17,0.92,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,FACW,29.6
Helianthus_divaricatus,1.13,227,118.9,2.99,46.86,0.34,169,0.04,85.35,18.4,0.35,4.23,12.27,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,7,UPL,12.3
Helianthus_mollis,4.8,282.5,117.2,1.67,37.55,0.33,434.9,0.49,84.69,8.69,0.65,3.9,98,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,0.9
Helianthus_occidentalis,2.405,320.9,145.2,2.26,41.2,0.27,411.9,0.32,65.13,7.82,0.42,4.19,16.64,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,13
Helianthus_pauciflorus,1.9052,354.4,85.2,1.83,41.53,0.27,488.8,0.53,114.88,16.65,0.66,7.9,21.47,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,UPL,21.4
Helianthus_strumosus,3.6556,283,217,1.89,44.32,0.24,342,0.37,99.75,10.63,0.5,3.03,6.73,geophytes,C3,1,0,0,0,1,1,0,1,F,0,3,7,FACU,0.92
Heliopsis_helianthoides,3.5448,239.6,19,2.97,41.59,0.14,285.9,0.43,82.49,9.3,0.32,5.54,13.78,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,FACU,5.4
Heuchera_richardsonii,0.3348,374.6,122,1.29,46.48,0.21,333.8,0.37,23.98,7.4,0.32,7.21,153.5,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,FACU,1.9
Hierochloe_odorata,0.9609,192,418.7,1.29,39.89,0.12,518,0.04,55.48,5.75,0.21,1.09,73.58,hemicryptophytes,C3,1,0,0,0,0,1,0,0,G,0,3,5,FACW,16.7
Hypericum_punctatum,0.04,305.4,143.8,1.48,46.28,0.14,294,0.04,91.44,4.46,0.39,0.5,4.69,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,0.92
Hypericum_pyramidatum,0.12,295.3,145.2,1.28,44.18,0.14,294,0.4,105.32,5.94,0.26,1.78,60.75,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,1.9
Juncus_dudleyi,0.01,381.4,320,1.29,44.57,0.14,518,0.08,15.4,4.8,0.09,2.12,47.04,hemicryptophytes,C3,0,0,0,0,0,0,0,0,G,0,3,6,FACW,16.7
Juncus_interior,0.016,320.9,333,1.41,41.2,0.14,454.9,0.07,90.72,9.19,0.22,2.22,19.33,hemicryptophytes,C3,0,0,0,0,0,0,0,0,G,0,3,6,FAC,2.6
Juncus_tenuis,0.0159,63.6,418.7,1.68,44.09,0.12,324.7,0.04,19.9,7.34,0.14,1.92,41.5,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,6,FAC,0.92
Koeleria_pyramidata,0.1677,430,130.9,1.52,44.46,0.14,496.4,0.07,43.9,5.09,0.25,2.45,1.77,hemicryptophytes,C3,1,0,0,0,0,0,0,0,G,0,3,6,UPL,5.9
Lespedeza_capitata,1.6939,45.7,17.4,1.99,47.36,0.14,519.1,0.17,111.5,3.56,0.23,2.9,0.94,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,2
Liatris_aspera,2.1,372.4,12.3,1.66,43.6,0.15,378.3,0.18,70.63,6.02,0.32,0.59,3.97,geophytes,C3,1,0,0,1,0,0,0,0,F,0,3,8,UPL,3.4
Liatris_pycnostachya,1.381,365.6,117.9,1.49,43.22,0.14,36.7,0.1,82.16,7.13,0.28,0.3,52.06,geophytes,C3,1,0,0,1,0,0,0,0,F,0,3,7,FAC,3.8
Liatris_scariosa,2.98,433.4,177.1,2.27,39.15,0.32,431.4,0.67,82.79,8.13,0.41,1.71,7.02,hemicryptophytes,C3,0,0,0,0,0,0,0,0,F,0,3,8,UPL,2.2
Liatris_spicata,3.5806,324.1,11.8,1.86,44.33,0.14,433.2,0.35,119.1,14.92,0.14,5.79,0.92,geophytes,C3,1,0,0,1,0,0,0,0,F,0,3,7,FAC,1.9
Lilium_michiganense,4.79,187.1,176,1.83,48.25,0.34,242.6,0.34,69.7,5.83,0.38,1.09,4.08,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACW,96.3
Lobelia_spicata,0.1186,224,83.4,1.47,46.28,0.32,450.1,0.42,159.44,7.53,0.39,8.09,3.97,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,1.9
