plot	type	species	plot.biomass.withGL	mono.total	mono.bag	mono.gl	mono.gl.total	mono.gl.bag												Collector	Date
73	Mono	BRIEUP	172.4	158.2	21.2	35.4	39.6	4.2													11/9/2017
75	Mono	LIASCN	437.9	487.5	49.6	0															11/9/2017
76	Mono	CXGRAV	47.1	68.3	21.2	0															11/9/2017
77	Mono	PANVIR	178.8	200.1	21.3	0															
78	Plug	LH.389271.rep1	Total B	ASCHIR	CXMOLE	SOLNEM	AGATEN	CHAFAS	LIAPYC	BROKAL	SENMAR	BLECIL	ANTNEG	CXBLAN	AGANEP	CASCOC	JUNTEN	ERASPE	GL	ALT	10/20/2017
			248.7	0.6	111.6	5.8	0	4	42.8	2	0.1	0.9	0	41.1	29.6	0	2.4	7.8	0		
			Tot. Weight	4.8	132.8	6.1	0	8.3	54	6.3	4.4	5.2	0	52.4	50.8	0	6.7	12	0		
			Bag Weight	4.2	21.2	0.3	0	4.3	11.2	4.3	4.3	4.3	0	11.3	21.2	0	4.3	4.2	0		
79	Plug	HH.1018148.rep1	Total B	ERYYUC	SPOHET	AGATEN	CASCOC	ASCHIR	SILLAC	CHAFAS	BROKAL	BAPALB	ALLCAN	CXBLAN	ANECYL	VIOPDF	HEURIC	SISANG	GL		
			232.7	2.4	17.8	0	0	0	14	71.3	1	0	2.7	51.7	3.8	0	40.8	14.1	13.1		
			Tot. Weight	6.6	22				18.3	82.6	5.2		7	62.9	8		41.1	26.8	17.4		
			Bag Weight	4.2	4.2				4.3	11.3	4.2		4.3	11.2	4.2		0.3	12.7	4.3		
80	Mono	AGASCR	202.3	151.5	11.1	61.9	73	11.1													11/9/2013
81	Mono	MONBRA	136.5	86.4	21.4	71.5	82.7	11.2													11/20/2017
82	Plug	LL.305726.rep1	Total B	EUPALT	PYCTEN	PYCVIR	PYCPIL	CAMROT	BLECIL	HELPAU	MAIRAC	ZIZAPT	ASCSUL	ASCSYR	PHYVIR	AMOCAN	HELOCC	ROSCAR	GL	ALT	10/20/2017
			1373.1	2.6	62.4	16.4	56.1	0.2	0	1028	0	19.5	1.2	0	35.7	0.3	0	7.3	143.4		
			Tot. Weight	6.9	83.7	37.7	67.5	4.5		1173.6	0	30.7	5.4	0	56.9	4.6	0	18.5	164.7		
			Bag Weight	4.3	21.3	21.3	11.4	4.3	0	145.6	0	11.2	4.2	0	21.2	4.3	0	11.2	21.3		
83	Mono	JUNDUD	29	40.3	11.3	0															11/9/2017
84	Mono	DALPUR	34.2	45.4	11.2	0															11/9/2017
86	Mono	JUNTEN	13.3	24.7	11.4	0															11/9/2017
87	Plug	LH.1417663.rep1	Total B	CXBLAN	CXBICK	BOUCUR	CASCOC	ANECAN	SENHEB	PENHIR	ALLCER	CHAFAS	HIEODO	DSMILL	SORNUT	PYCPIL	CXBREV	ANDGER	GL	ALT	10/30/2017
			146.7	2.5	0	9.7	0	4.4	0.4	86.3	0	0	28.4	0.5	0	1.2	0	13.3	0		
			Tot. Weight	6.8		14		8.7	4.7	107.6			39.7	4.8		5.5		17.5	0		
			Bag Weight	4.3		4.3		4.3	4.3	21.3			11.3	4.3		4.3		4.2	0		
