#Label	X/Longitude	Y/Latitude	Z/Altitude	X_est	Y_est	Z_est
point 421				-88.092784	41.820726	223.107906
point 422				-88.092812	41.820725	223.131343
point 423				-88.092814	41.820742	223.294814
point 424				-88.092787	41.820744	223.221004
point 425				-88.092788	41.820748	223.058708
point 426				-88.092817	41.820747	223.075533
point 427				-88.092818	41.820766	223.029060
point 428				-88.092791	41.820767	223.058514
point 429				-88.092791	41.820771	223.109107
point 430				-88.092818	41.820770	223.108924
point 431				-88.092821	41.820788	223.140858
point 432				-88.092791	41.820789	223.280022
point 433				-88.092738	41.820380	222.902941
point 434				-88.092767	41.820380	223.464865
point 435				-88.092768	41.820398	223.506076
point 436				-88.092739	41.820398	223.113206
point 437				-88.092739	41.820400	223.349868
point 438				-88.092768	41.820400	223.037374
point 439				-88.092769	41.820420	223.298115
point 440				-88.092740	41.820420	223.170930
point 441				-88.092742	41.820425	224.079062
point 442				-88.092768	41.820426	223.161097
point 443				-88.092769	41.820445	223.202439
point 444				-88.092740	41.820445	223.008611
point 445				-88.092740	41.820449	223.123648
point 446				-88.092769	41.820449	223.026150
point 447				-88.092770	41.820468	222.931141
point 448				-88.092742	41.820468	223.051949
point 449				-88.092742	41.820472	223.015473
point 450				-88.092769	41.820472	222.907243
point 451				-88.092769	41.820489	223.101521
point 452				-88.092743	41.820489	223.114973
point 453				-88.092743	41.820493	223.417218
point 454				-88.092770	41.820492	223.611101
point 455				-88.092770	41.820512	224.099835
point 456				-88.092744	41.820513	224.310299
point 457				-88.092744	41.820517	223.890170
point 458				-88.092771	41.820517	223.880556
point 459				-88.092771	41.820538	223.515667
point 460				-88.092742	41.820538	223.656719
point 461				-88.092744	41.820543	223.190796
point 462				-88.092771	41.820541	223.233967
point 463				-88.092773	41.820560	223.140617
point 464				-88.092746	41.820561	223.155490
point 465				-88.092746	41.820564	223.255401
point 466				-88.092772	41.820564	223.199405
point 467				-88.092772	41.820584	223.060927
point 468				-88.092747	41.820585	223.199321
point 469				-88.092747	41.820589	223.248992
point 470				-88.092773	41.820588	223.116273
point 471				-88.092774	41.820606	223.059316
point 472				-88.092748	41.820608	223.184450
point 473				-88.092747	41.820611	223.303611
point 474				-88.092773	41.820610	223.026975
point 475				-88.092775	41.820629	223.084259
point 476				-88.092744	41.820629	223.087771
point 477				-88.092745	41.820633	223.173955
point 478				-88.092775	41.820632	223.053180
point 479				-88.092775	41.820652	222.983182
point 480				-88.092748	41.820653	223.121832
point 481				-88.092749	41.820657	223.064471
point 482				-88.092776	41.820657	222.968530
point 483				-88.092778	41.820675	222.918101
point 484				-88.092750	41.820676	223.005464
point 485				-88.092750	41.820681	223.056170
point 486				-88.092778	41.820679	222.975394
point 487				-88.092779	41.820698	222.946538
point 488				-88.092752	41.820699	223.050132
point 489				-88.092754	41.820704	223.068255
point 490				-88.092780	41.820701	222.968658
point 491				-88.092780	41.820721	223.121403
point 492				-88.092756	41.820721	223.189339
point 493				-88.092755	41.820726	223.449766
point 494				-88.092781	41.820725	223.073521
point 495				-88.092782	41.820744	223.150773
point 496				-88.092756	41.820745	223.177384
point 497				-88.092758	41.820749	223.179360
point 498				-88.092784	41.820748	223.079660
point 499				-88.092786	41.820767	223.062534
point 500				-88.092760	41.820767	223.171368
point 501				-88.092761	41.820771	223.474461
point 502				-88.092786	41.820771	223.255452
point 503				-88.092787	41.820789	223.280913
point 504				-88.092761	41.820789	223.426710
point 505				-88.092710	41.820381	223.017718
point 506				-88.092735	41.820380	222.900157
point 507				-88.092736	41.820399	223.055595
point 508				-88.092710	41.820399	223.076987
point 509				-88.092710	41.820402	223.128163
point 510				-88.092736	41.820402	223.196320
point 511				-88.092737	41.820421	223.202127
point 512				-88.092712	41.820421	223.243285
point 513				-88.092711	41.820425	223.448007
point 514				-88.092736	41.820426	223.091468
point 515				-88.092736	41.820446	222.997470
point 516				-88.092711	41.820445	223.147923
point 517				-88.092711	41.820450	223.104948
point 518				-88.092737	41.820449	223.078167
point 519				-88.092738	41.820469	223.045792
point 520				-88.092712	41.820470	223.202539
point 521				-88.092712	41.820473	223.199857
point 522				-88.092738	41.820472	223.075979
point 523				-88.092740	41.820491	223.144073
point 524				-88.092712	41.820492	223.258393
point 525				-88.092712	41.820496	223.224677
point 526				-88.092739	41.820495	223.142772
point 527				-88.092739	41.820515	223.872675
point 528				-88.092713	41.820516	223.233927
point 529				-88.092712	41.820519	223.258918
point 530				-88.092739	41.820518	223.602214
point 531				-88.092739	41.820538	223.533711
point 532				-88.092715	41.820538	223.332395
point 533				-88.092714	41.820541	223.348110
point 534				-88.092739	41.820542	223.554167
point 535				-88.092741	41.820561	223.187439
point 536				-88.092715	41.820561	223.328141
point 537				-88.092715	41.820564	223.523674
point 538				-88.092742	41.820565	223.232611
point 539				-88.092743	41.820584	223.182735
point 540				-88.092716	41.820585	223.345049
point 541				-88.092716	41.820588	223.319486
point 542				-88.092744	41.820588	223.257916
point 543				-88.092744	41.820608	223.143859
point 544				-88.092716	41.820608	223.316309
point 545				-88.092717	41.820614	223.317101
point 546				-88.092742	41.820612	223.221777
point 547				-88.092741	41.820630	223.103673
point 548				-88.092717	41.820630	223.266354
point 549				-88.092717	41.820633	223.245373
point 550				-88.092742	41.820633	223.157652
point 551				-88.092744	41.820653	223.147240
point 552				-88.092718	41.820653	223.221494
point 553				-88.092718	41.820657	223.178787
point 554				-88.092745	41.820657	223.106658
point 555				-88.092746	41.820676	223.033072
point 556				-88.092719	41.820677	223.176524
point 557				-88.092719	41.820681	223.128577
point 558				-88.092746	41.820680	223.082990
point 559				-88.092746	41.820700	223.087748
point 560				-88.092720	41.820700	223.138583
point 561				-88.092722	41.820705	223.299327
point 562				-88.092748	41.820704	223.137865
point 563				-88.092749	41.820721	223.091018
point 564				-88.092723	41.820721	223.090110
point 565				-88.092724	41.820725	223.096099
point 566				-88.092750	41.820724	223.162563
point 567				-88.092752	41.820745	223.201884
point 568				-88.092725	41.820746	223.265123
point 569				-88.092725	41.820749	223.229689
point 570				-88.092751	41.820749	223.209824
point 571				-88.092754	41.820767	223.202305
point 572				-88.092725	41.820767	223.235475
point 573				-88.092729	41.820772	223.189511
point 574				-88.092755	41.820771	223.180037
point 575				-88.092757	41.820790	223.229949
point 576				-88.092731	41.820790	223.219908
point 577				-88.092678	41.820383	222.959511
point 578				-88.092706	41.820381	222.937895
point 579				-88.092706	41.820400	223.020169
point 580				-88.092680	41.820400	223.096968
point 581				-88.092680	41.820404	223.189210
point 582				-88.092706	41.820403	223.081409
point 583				-88.092708	41.820423	223.293944
point 584				-88.092679	41.820423	223.661082
point 585				-88.092677	41.820428	223.202577
point 586				-88.092707	41.820426	223.273132
point 587				-88.092707	41.820446	223.145763
point 588				-88.092679	41.820447	223.195809
point 589				-88.092678	41.820452	223.169785
point 590				-88.092707	41.820450	223.215900
point 591				-88.092708	41.820470	223.144401
point 592				-88.092680	41.820471	223.302302
point 593				-88.092680	41.820475	223.210027
point 594				-88.092708	41.820473	223.154316
point 595				-88.092708	41.820492	223.186478
point 596				-88.092681	41.820493	223.225678
point 597				-88.092680	41.820496	223.282328
point 598				-88.092708	41.820496	223.286282
point 599				-88.092709	41.820516	223.234611
point 600				-88.092683	41.820516	223.512298
point 601				-88.092683	41.820520	223.480371
point 602				-88.092709	41.820519	223.279779
point 603				-88.092711	41.820538	223.308349
point 604				-88.092685	41.820538	223.409852
point 605				-88.092684	41.820541	223.397249
point 606				-88.092711	41.820542	223.297715
point 607				-88.092710	41.820561	223.465934
point 608				-88.092683	41.820562	223.432872
point 609				-88.092682	41.820565	223.456241
point 610				-88.092710	41.820563	224.092514
point 611				-88.092712	41.820585	223.394646
point 612				-88.092681	41.820585	223.568538
point 613				-88.092686	41.820589	223.456539
point 614				-88.092712	41.820589	223.361506
point 615				-88.092713	41.820608	223.301841
point 616				-88.092685	41.820609	223.391188
point 617				-88.092685	41.820612	223.359945
point 618				-88.092713	41.820611	223.290385
point 619				-88.092712	41.820630	223.333631
point 620				-88.092685	41.820630	223.325128
point 621				-88.092687	41.820634	223.351254
point 622				-88.092713	41.820633	223.278176
point 623				-88.092714	41.820653	223.192208
point 624				-88.092687	41.820653	223.314018
point 625				-88.092689	41.820658	223.274430
point 626				-88.092714	41.820657	223.255459
point 627				-88.092714	41.820676	223.184542
point 628				-88.092690	41.820675	223.215691
point 629				-88.092691	41.820680	223.172757
point 630				-88.092716	41.820681	223.140570
point 631				-88.092716	41.820700	223.176857
