acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Erigeron strigosus	Erigeron strigosus	Erigeron strigosus	eristr	eristr		Prairie Fleabane	Erigeron strigosus	Include		Include		0			Asteraceae	MOR		0.4961	335.4					419.1		105.02	93.91		0.14		4.57	AB	1.5				Vernal	May	5	July	3	C3	blue;violet;white;others	complete;regular;irregular	achene	head	primary	0	1	0	0	0	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	FACU	FACU							Y		1	1	1	1	1	1	1	1	1	0	1	2	1	0	1	0	0	0	1	1	1	1	1	1	seq	Red		
Eryngium yuccifolium	Eryngium yuccifolium	Eryngium yuccifolium	eryyuc	eryyuc		Button Eryngo	Eryngium yuccifolium	Include	Eryngium yuccifolium	Include	1	0			Apiaceae	UW		2.5978	293.4	85.1	1.7	44.9	0.15	32.7	0.11	115.29	98.66	16.65	0.57	2.12		P	3	hemicryptophytes	Unassisted	Biotic Unspecialized	Aestival	July	7	August	2	C3	white	complete;regular	schizocarp	head	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FAC	FAC	8.1					8.1	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Eupatorium altissimum	Eupatorium altissimum	Eupatorium altissimum	eupalt	eupalt		Tall Boneset	Eupatorium altissimum	Include	Eupatorium altissimum	Include	1	0			Asteraceae	UW		0.2887	325.3	92.5	1.69	43.44		454.5	0.31	85.14	82.89	6.76	0.39	1.33		P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	white	complete;regular	achene	head		0	0	0	0	0	0	0	0	perfect	common	F	F	H	0	FACU	FACU	5	7.2	6.1			6.1	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Eupatorium perfoliatum	Eupatorium perfoliatum	Eupatorium perfoliatum	eupper	eupper		Common Boneset	Eupatorium perfoliatum		Eupatorium perfoliatum		1	wetland specialist	MG	6/16/2015	Asteraceae			0.0937	453.9	184.5	2.15		0.22				102.45					P										C3	white	complete;regular	achene	head	adventitious;fibrous;rhizomes	Y				Y	Y			perfect	common	F	F	H	0	OBL	FACW	4.7					4.7	Y		0	0	0	0	0	0	0	0	0	1	0	9	5	0	0	1	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Euphorbia corollata	Euphorbia corollata	Euphorbia corollata	eupcor	eupcor		Flowering Spurge	Euphorbia corollata	Include	Euphorbia corollata	Include	1	0			Euphorbiaceae	UW		1.8168	343.7	141.2	2.12	45.28	0.19	245.4	0.5	71.35	65.94	4.46	0.22	1.09		P	3	hemicryptophytes	Animal	Biotic Unspecialized	Aestival	June	6	September	4	C3	white	incomplete;no petals;no sepals	capsule	dichasium;panicle;umbel;other	primary	0	1	0	0	0	0	0	0	unisexual;monoecious	common	F	F	H	0	UPL	UPL	1.8					1.8	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Green	1	1
Euthamia graminifolia	Euthamia graminifolia	Euthamia graminifolia	eutgra	eutgra	Solidago graminifolia	Flat-Top Goldentop	Euthamia graminifolia	Include	Solidago graminifolia	Include	0	0			Asteraceae	UW		0.5349	424.3	12.8	1.48	46.39		497.6	0.14	83	82.79	4.78	0.26	0.32		P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	July	7	October	4	C3	yellow	complete;regular;irregular	achene	corymb;head	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	perfect;unisexual;monoecious		F	F	H	0	FACW	FAC	1.7					1.7	N																										seq	Green	1	1
Festuca paradoxa	Festuca paradoxa	Festuca paradoxa	fespar	fespar		Clustered Fescue		Include	Festuca paradoxa	Include		0			Poaceae																	P	3				Vernal	May	5	July	3	C3		complete	grain	panicle	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	occasional	G	G	H	0	FAC	FAC							N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Fragaria virginiana	Fragaria virginiana	Fragaria virginiana	fravir	fravir		Virginia Strawberry	Fragaria virginiana	Include	Fragaria virginiana	Include	1	0			Rosaceae	UW		0.4448	269	333	1.5		0.33	196	0.45		19.25	7.53	0.23	10.28	58.38	P	3	hemicryptophytes	External animal	Biotic Unspecialized	Vernal	April	4	June	3	C3	white	complete;regular	achene	corymb	primary;adventitious;rhizomes;stolons	1	1	0	0	0	1	1	0	perfect;unisexual;dioecious	occasional	F	F	H	0	FACU	FACU	1.8	1.9	1.9	0.8		1.9	Y		0	0	0	0	0	0	0	0	0	0	0	22	22	3	0	1	0	0	0	0	0	0	0	0	seq	Green	1	1
Frasera caroliniensis	Frasera caroliniensis	Frasera caroliniensis	fracar	fracar	Swertia caroliniensis	American Columbo		Include	Frasera caroliniensis			"0, non native to MN"	MG	6/16/2015	Gentianaceae																	P	3			Biotic Unspecialized	Vernal	May	5	June	2	C3	yellow	complete;regular	capsule	dichasium	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL								N	N																										Yellow	1	
Galium boreale	Galium boreale	Galium boreale	galbor	galbor		Northern Bedstraw	Galium boreale	Include	Galium boreale	Include	1	0			Rubiaceae	TRY		0.6976	291.8	275.4	2.04		0.17				34.87					P	3	hemicryptophytes		Biotic Unspecialized	Vernal	May	5	July	3	C3	white	complete;regular	nut	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F/SS	F	H	0	FAC	FAC	3	3.2	3.1			3.1	Y	Y	1	1	1	1	1	2	1	1	1	4	1	24	13	2	1	1	0	0	1	1	1	1	1	1	seq	Orange	1	
Galium obtusum	Galium obtusum	Galium obtusum	galobt	galobt		Blunt-Leaf Bedstraw	Galium obtusum	Include				"0, FACW, also found in mesic prairies per ILPIN"	MCG	9/23/2015	Rubiaceae	UW		2.54	241	454				217	0.5	47.75	49.52	2.07	0.08	0.63		P	3	hemicryptophytes	Unassisted	Biotic Unspecialized	Vernal	May	5	July	3	C3	white	complete;regular	nut	dichasium	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	F	F	H	0	FACW	FACW							Y		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	seq	Red		
Gaura biennis	Gaura biennis	Gaura biennis	gaubie	gaubie		Butterfly Weed	Gaura biennis	Include	Gaura biennis	Include	1	0			Onagraceae	MOR		8.1	311.1					370.6		141.53	96.88		0.19		3.37	AB	1.5				Aestival	July	7	September	3	C3	red;white	complete;irregular	nut	spike	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
Gaura longiflora	Gaura longiflora	Gaura longiflora	gaulon	gaulon	Gaura biennis var. pitcheri	Longflower beeblossom		Include	Gaura longiflora	Include		0			Onagraceae	MOR		8.56	321.2					330.6		224.75	177.88		0.19		7.16	ABP	2				Aestival	July	7	September	3	C3	red;white	complete;irregular	nut	spike	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL							N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Gentiana alba	Gentiana flavida	Gentiana flavida	genfla	genfla	Gentiana flavida	Cream Gentian	Gentiana flavida	Include	Gentiana flavida	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Gentianaceae	MOR	TRY		265.8					374.3		69.82	47.34		0.27			P	3				Autumnal	August	8	October	3	C3	white	complete;regular	capsule	dichasium	primary	0	1	0	0	0	0	0	0	perfect	uncommon	F	F	H	0	FACU	FACU							Y		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Orange	1	
Gentiana andrewsii	Gentiana andrewsii	Gentiana andrewsii	genand	genand		Bottle Gentian	Gentiana andrewsii	Include	Gentiana andrewsii	Include	1	0			Gentianaceae	TRY		0.0543									60.96					P	3				Autumnal	August	8	October	3	C3	violet	complete;regular	capsule	dichasium	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FACW	FACW							Y	Y	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Green	1	1
Gentiana puberulenta	Gentiana puberulenta	Gentiana puberulenta	genpub	genpub		Prairie Gentian	Gentiana puberulenta	Include		Include		0			Gentianaceae	MOR		0.06	321	477.8				491.8	0.46	35.56	25.54	3.9	0.24	1.07		P	3				Autumnal	September	9	October	2	C3	blue	complete;regular	capsule	dichasium	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Red		
Gentiana quinquefolia	Gentiana quinquefolia	Gentiana quinquefolia	genqui	genqui	Gentiana quinquefolia v. occident	Stiff Gentian	Gentiana quinquefolia					synonym			Gentianaceae			0.28		19.1			2.13									ABP					Autumnal	August		October	3	C3	blue;violet	complete;regular	capsule	dichasium	primary		Y							perfect	occasional	F	F	H	0	FAC	FAC							N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
