acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Lactuca ludoviciana				0		Prairie Wild Lettuce		Include				"0, new, per WI Atlas"	MCG	9/22/2015	Asteraceae			1.23		145												BP	2.5			Biotic Unspecialized	Aestival	July	7	September	3	C3	yellow;blue	complete;irregular	achene	head		0	0	0	0	0	0	0	0	perfect	rare	F	F	H	0	FACU										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Red		
Lathyrus venosus	Lathyrus venosus	Lathyrus venosus	latven	latven		Veiny Vetchling		Include	Lathyrus venosus	Include		"0, N fix, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Fabaceae	TRY		34.34		225.3	3.46		0.18									P	3				Vernal	May	5	June	2	C3	violet	complete;irregular	legume	raceme	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	occasional	V/F	V	H	1	FAC	FAC							N	Y	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
Lespedeza capitata	Lespedeza capitata	Lespedeza capitata	lescap	lescap		Round-Head Bush-Clover		Include	Lespedeza capitata	Include		"0, N fix"	"MG, MCG"	6/15/2015	Fabaceae	UW		1.6939	45.7	17.4	1.99	47.36	0.14	519.1	0.17	112.33	111.5	3.56	0.23	2.9	0.94	P	3	hemicryptophytes	Animal	Biotic Unspecialized	Aestival	July	7	September	3	C3	white	complete;irregular	legume	head	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	1	FACU	FACU	1.9	2	2			2	Y		1	1	1	1	1	1	1	1	1	1	1	15	15	0	1	3	0	3	3	3	3	3	3	1	seq	Green	1	1
Lespedeza violacea				0		Violet Bush Clover		Include				"0, new, N fix, per WI Atlas found in M prairies, listed as prairie sp in ILPIN"	MCG	11/18/2015	Fabaceae			2.48														P	3				Aestival	July	7	September	3	C3	violet	complete;irregular	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	1	UPL										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	genus	Red		
Lespedeza virginica				0		Slender Bush Clover		Include				"0, new, N fix, , listed as DRY prairie sp in ILPIN"	MCG	11/18/2015	Fabaceae			1.91														P	3				Autumnal	August	8	September	2	C3	violet	complete;irregular	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	1	UPL										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Liatris aspera	Liatris aspera	Liatris aspera	liaasp	liaasp		Rough Blazing Star	Liatris aspera	Include	Liatris aspera	Include	1	0			Asteraceae	UW		2.1	372.4	12.3	1.66	43.6	0.15	378.3	0.18	80.87	70.63	6.02	0.32	0.59		P	3	geophytes	Wind	Biotic Unspecialized	Autumnal	August	8	October	3	C3	violet;white;others	complete;regular	achene	spike;head	adventitious;corms	1	0	0	1	0	0	0	0	perfect	common	F	F	H	0	UPL	UPL	3.3	3.5	3.4			3.4	Y		0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	1	0	1	1	1	1	1	1	0	** SPLICE **	Green	1	1
Liatris cylindracea	Liatris cylindracea	Liatris cylindracea	liacyl	liacyl		Cylindrical Blazing Star	Liatris cylindracea		Liatris cylindracea	Include	1	sand specialist	MCG	9/24/2015	Asteraceae	UW		3.265	448.7	92.8	1.36	41.12	1.1	435.8	0.08	35.04	31.9	7.44	0.27	0.23	0	P		geophytes	Wind	Biotic Unspecialized	Aestival	July		September	3		violet;white;others	complete;regular	achene	head	adventitious;corms	Y			Y					perfect	occasional	F	F	H	0	UPL	UPL	3.6					3.6	N		0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Liatris ligulistylis	Liatris ligulistylis	Liatris ligulistylis		0	Liatris scariosa	Savanna Blazing Star	Liatris ligulistylis		Liatris ligulistylis		1	synonym			Asteraceae			2.98																														Y													0	FACU	FACU							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
Liatris punctata	Liatris punctata	Liatris punctata		0					Liatris punctata			"north america, rare"	MCG	7/15/2015	Asteraceae			14.09197									60.96					P										C3	violet;white;others	complete;regular	achene	spike;head	adventitious;rhizomes;corms	Y			Y		Y			perfect	rare	F	F		0	UPL	UPL							N		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1			#N/A	#N/A
Liatris pycnostachya	Liatris pycnostachya	Liatris pycnostachya	liapyc	liapyc		Prairie Blazing Star	Liatris pycnostachya	Include	Liatris pycnostachya	Include	1	0			Asteraceae	UW		1.381	365.6	117.9	1.49	43.22		36.7	0.1	95.12	82.16	7.13	0.28	0.3		P	3	geophytes	Wind/Endozoochory	Biotic Unspecialized	Aestival	July	7	September	3	C3	violet;white;others	complete;regular	achene	spike;head	adventitious;corms	1	0	0	1	0	0	0	0	perfect	common	F	F	H	0	FAC	FAC	3.8					3.8	Y		1	1	1	1	1	1	1	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Green	1	1
Liatris scariosa	Liatris scariosa	Liatris scariosa		0		Savanna Blazing Star		Include	Liatris scariosa			"0, rare"	MCG	7/16/2015	Asteraceae			2.98														P	3				Autumnal	August	8	September	2	C3	violet	regular	achene	head		0	0	0	0	0	0	0	0	perfect	rare	F	F	H	0	UPL	UPL							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Green	1	1
Liatris scariosa var. nieuwlandii	Liatris scariosa	Liatris scariosa		0	Liatris scariosa	Savanna Blazing Star	Liatris scariosa var. nieuwlandii					synonym	MCG	9/22/2015	Asteraceae			2.98																														Y													0	UPL	UPL							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
Liatris spicata	Liatris spicata	Liatris spicata	liaspi	liaspi		Marsh Blazing Star	Liatris spicata	Include	Liatris spicata	Include	1	"0, uncommon"	MCG	7/30/2015	Asteraceae	MOR		3.5806	324.1					433.2		146.13	119.1		0.14			P	3				Aestival	July	7	September	3	C3	violet;white;others	complete;regular	achene	spike;head	adventitious;corms	1	0	0	1	0	0	0	0	perfect	uncommon	F	F	H	0	FAC	FAC							Y	Y	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Green	1	1
Lilium michiganense	Lilium michiganense	Lilium michiganense	lilmic	lilmic		Michigan Lily	Lilium michiganense	Include	Lilium michiganense	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Liliaceae	UW		4.79	187.1	176	1.83	48.25		242.6	0.34	76.44	69.7	5.83	0.38	1.09		P	3	geophytes	Unassisted	Biotic Specialized	Aestival	July	7	August	2	C3	yellow	complete;regular	capsule	solitary	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	F	F	H	0	FACW	FACW	96.3					96.3	Y																										seq	Green	1	1
Lilium philadelphicum				0	Lilium umbellatum	Wood Lily		Include				"0, new"		9/22/2015	Liliaceae			0.4453									80					P	3				Aestival	June	6	July	2	C3	red;orange;yellow	complete;regular	capsule	solitary;few	adventitious;bulbs	1	0	1	0	0	0	0	0	perfect	occasional	F	F	H	0	FAC										0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Lilium superbum	Lilium superbum	Lilium superbum		0		Turk's-Cap Lily		Include	Lilium superbum			"0, rare"	MCG	7/15/2015	Liliaceae			5.145									121					P	3				Aestival	July	7	July	1	C3	red;orange	complete;regular	capsule	raceme;umbel;solitary	adventitious;fibrous;bulbs	1	0	1	0	1	0	0	0	perfect	rare	F	F	H	0	FACW	FACW							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Linum sulcatum	Linum sulcatum	Linum sulcatum	linsul	linsul		Grooved Yellow Flax	Linum sulcatum			Include		sand and gravel specialist	MCG	9/23/2015	Linaceae			0.29														A					Vernal	May		September	5	C3	yellow	complete;regular	capsule		primary		Y							perfect	occasional	F	F	H	0	UPL	UPL	4					4	N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Lithospermum canescens	Lithospermum canescens	Lithospermum canescens	litcan	litcan		Hoary Puccoon	Lithospermum canescens	Include		Include		0			Boraginaceae	UW		7.9873	293.8	164.5	2.57	41.98	0.15	243.7	0.46	22.55	22.53	3.08	0.4	0.83		P	3	hemicryptophytes	Unassisted	Biotic Unspecialized	Vernal	April	4	June	3	C3	yellow	complete;regular	nut	dichasium;raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL	1.1	1.2	1.2			1.2	Y		0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
Lobelia inflata	Lobelia inflata	Lobelia inflata		0		Indian-Tobacco			Lobelia inflata			woodland species	MG	6/15/2015	Campanulaceae			0.014	327.3	373	4.24						80					A										C3	red;blue;violet;white	complete;irregular	capsule	raceme	primary		Y							perfect	common	F	F	H	0	FACU	FACU	1.9					1.9	Y		0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	1	1	1	1	0			#N/A	#N/A
Lobelia siphilitica	Lobelia siphilitica	Lobelia siphilitica		0		Great Blue Lobelia	Lobelia siphilitica		Lobelia siphilitica		1	wetland specialist	MCG	7/15/2015	Campanulaceae			0.0328									100					P										C3	blue;white	complete;irregular	capsule	raceme	primary		Y							perfect	occasional	F	F	H	0	OBL	FACW							Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
Lobelia spicata	Lobelia spicata	Lobelia spicata	lobspi	lobspi		Pale-Spike Lobelia	Lobelia spicata	Include	Lobelia spicata	Include	1	0			Campanulaceae	TRY																P	3				Aestival	July	7	August	2	C3	blue;white	complete;irregular	capsule	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FAC	FAC							Y	Y																									** SPLICE **	Green	1	1
Lupinus perennis	Lupinus perennis	Lupinus perennis	lupper	lupper		Wild Lupine			Lupinus perennis	Include		"N fix, sand specialist"	MCG	9/22/2015	Fabaceae	UW		3.979	169.7	28.6	3.67	43.95		135.9	0.06	51.61	34.84	7.95	0.37	8.78	97.81	P		hemicryptophytes	Launching	Biotic Unspecialized	Vernal	May		June	2	C3	blue;violet	complete;irregular	legume	raceme	primary		Y							perfect	occasional	F	F	H	1	UPL	UPL	1.8					1.8	N																										seq		#N/A	#N/A
Luzula multiflora	Luzula multiflora	Luzula multiflora	luzmul	luzmul	Luzula campestris multiflora	Common Wood-Rush	Luzula multiflora	Include		Include		0			Juncaceae	TRY		0.7066	256	244.3	2.3						17.33					P	3	hemicryptophytes		Abiotic	Vernal	April	4	May	2	C3	green;others	complete;regular	capsule	umbel		0	0	0	0	0	0	0	0	perfect	common	G	G	H	0	FACU	FACU							N	N	0	0	0	0	0	1	0	0	0	1	0	5	1	4	0	6	1	1	1	1	1	1	1	0	seq	Yellow	1	
Lysimachia ciliata	Lysimachia ciliata	Lysimachia ciliata	lyscil	lyscil		Fringed Yellow-Loosestrife	Lysimachia ciliata		Lysimachia ciliata		1	aggressive	"ah, MG, MCG"	6/15/2015	Primulaceae	UW		0.8188	233	390	2.57	45.06	0.21	192	0.55	81.57	77.75	9.62	0.14	3.63	19.01	P		geophytes	Unassisted	Biotic Unspecialized	Vernal	May		September	5	C3	yellow	complete;regular	capsule	solitary	primary;adventitious;rhizomes	Y	Y				Y			perfect	common	F		H	0	FACW	FACW	13.8					13.8	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Lysimachia lanceolata	Lysimachia lanceolata	Lysimachia lanceolata	lyslan	lyslan		Lance-Leaf Yellow-Loosestrife	Lysimachia lanceolata	Include		Include		0			Primulaceae	TRY		0.79									76.2					P	3				Vernal	May	5	September	5	C3	yellow	complete;regular	capsule	solitary	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	common	F	F	H	0	FAC	FAC							N	N	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	** SPLICE **	Red		
Lysimachia quadriflora	Lysimachia quadriflora	Lysimachia quadriflora	lysquaa	lysquaa		Four-Flower Yellow-Loosestrife	Lysimachia quadriflora		Lysimachia quadriflora		1	wetland specialist	MCG	7/30/2015	Primulaceae	UW		0.2816	393.2	143.4	1.23	46.58		42.2	0.19	44.08	43.85	3.74	0.18	0.25	0	P		hemicryptophytes	Unassisted	Biotic Unspecialized	Aestival	July		August	2	C3	yellow	complete;regular	capsule	solitary	primary;adventitious;rhizomes	Y	Y				Y			perfect	occasional	F		H	0	OBL	OBL	5.5					5.5	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **		#N/A	#N/A
Lythrum alatum	Lythrum alatum	Lythrum alatum	lytala	lytala		Wing-Angle Loosestrife	Lythrum alatum		Lythrum alatum		1	wetland specialist	MCG	7/30/2015	Lythraceae			0.05														P					Aestival	June		September	4	C3	violet	complete;regular	capsule	solitary	primary		Y							perfect	occasional	F/SS	F	H	0	OBL	OBL	1.1					1.1	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **		#N/A	#N/A
Maianthemum racemosum	Maianthemum racemosum	Maianthemum racemosum	smirac	smirac	Smilacina racemosa	Feathery False Solomon's-Seal		Include	Smilacina racemosa	Include		"0, updated name by AH"	AH	6/24/2015	Asparagaceae	UW		32.9619	193	327	2.23	44.34	0.19	244	0.57	27.83	21.83	10.93	0.23	4.19	0.92	P	3	chamaephytes	Internal animal	Biotic Unspecialized	Vernal	May	5	June	2	C3	white	complete;regular	berry	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	F	F	H	0	FACU	FACU	55.8					55.8	N																										seq	Green	1	1
Maianthemum stellatum	Maianthemum stellatum	Maianthemum stellatum	maiste	maiste	Smilacina stellata	Starry False Solomon's-Seal	Smilacina stellata	Include	Smilacina stellata	Include	1	"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Asparagaceae	UW		17.2565	187	31	2.48	45.01		281	0.39	25.86	24.17	9.09	0.23	1.87		P	3	geophytes	Internal animal	Biotic Unspecialized	Vernal	May	5	June	2	C3	white	complete;regular	berry	raceme	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FAC	FAC	29.6			24.54		29.6	Y		0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Melanthium virginicum	Melanthium virginicum	Melanthium virginicum	melvir	melvir	Veratrum virginicum	Bunch Flower			Melanthium virginicum	Include		IL Threatened	"MG, MCG"	6/15/2015	Melanthiaceae																	P					Aestival	June		July	2		green;violet;white;others	complete;regular	capsule	panicle	adventitious;rhizomes	Y					Y			perfect;unisexual	occasional	F	F	H	0	FACW	FACW							N	Y																										Have seed		
Menispermum canadense				0				Include				"0, new, per convers w Wilhelm"	MCG	9/23/2015	Menispermaceae	UW		35.504	221				0.31	320	0.61		37.83	8.17	0.13	8.64	53.77	P	3	chamaephytes	Internal animal	Biotic Unspecialized	Vernal	June	6	July	2	C3	white	complete;regular	drupe	panicle	primary	0	1	0	0	0	0	0	0	unisexual;dioecious	common	V	V	W	0	FAC																																			Red		
Mentha arvensis	Mentha arvensis	Mentha arvensis		0		American Wild Mint	Mentha arvensis		Mentha arvensis		1	wetland specialist	"MG, MCG"	6/15/2015	Lamiaceae																	P										C3		complete;irregular	nut	spike	primary		Y							perfect		F	F	H	0	FACW	FACW							N																												#N/A	#N/A
Mimosa quadrivalvis	Schrankia uncinata	Schrankia uncinata		0	"Original: Schrankia uncinata; Mimosa microphylla, Mimosa quadrivalvis var. angustata, Schrankia nuttallii"	Cat-Claw		Include	Schrankia uncinata			"0, N fix, rare"	MCG	7/16/2015	Fabaceae																	P	3				Aestival	June	6	September	4	C3	red	complete;regular	legume	head	primary	0	1	0	0	0	0	0	0	perfect;unisexual	rare	F	F	H	1	UPL								N																											Yellow	#N/A	#N/A
Mirabilis nyctaginea	Mirabilis nyctaginea	Mirabilis nyctaginea		0		Heart-Leaf Four-O'clock			Mirabilis nyctaginea			north america	"MG, MCG"	6/15/2015	Nyctaginaceae																	P										C3	violet	incomplete;not petals;regular	achene	panicle	primary		Y							unisexual	common				0	UPL	UPL	1.1					1.1	N																												#N/A	#N/A
Moehringia lateriflora				0	Arenaria lateriflora	Grove Sandwort		Include				"0, new, per WI Atlas & IL wildf found in M prairies, listed as prairie sp in ILPIN"	MCG	11/18/2015	Caryophyllaceae	UW		0.474	235	365	2.32			156	0.59	16.08	13.46	2.4	0.2	0.84		P	3	geophytes	Unassisted	Biotic Unspecialized	Vernal	May	5	July	3	C3	white	complete;regular	capsule	dischasium	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FACU										0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	seq	Red		
Monarda bradburiana	Monarda bradburiana	Monarda bradburiana	monbra	monbra				Include	Monarda bradburiana			"0, non native to MN"	"MG, MCG"	6/15/2015	Lamiaceae																	P	3				Vernal	April	4	June	3	C3	violet;white	complete;irregular	nut	dichasium	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	occasional	F	F	H	0	UPL								N	N																									genus	Orange	1	
Monarda fistulosa	Monarda fistulosa	Monarda fistulosa	monfis	monfis		Oswego-Tea	Monarda fistulosa	Include	Monarda fistulosa	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Lamiaceae	UW		0.2464	363.8	154.2	1.7	44.77	0.15	434.9	0.4	92.78	88.76	5.62	0.26	2.25	9.19	P	3	hemicryptophytes	Unassisted	Biotic Unspecialized	Aestival	July	7	September	3	C3	violet	complete;irregular	nut	dichasium	primary	0	1	0	0	0	0	0	0	perfect	common	F/SS	F	H	0	FACU	FACU	1.9					1.9	Y		2	2	2	2	2	2	2	2	2	2	2	15	0	0	2	0	0	0	0	0	0	0	0	2	seq	Green	1	1
Monarda punctata	Monarda punctata	Monarda punctata	monpun	monpun		Spotted Beebalm			Monarda punctata	Include		sand specialist	MCG	9/23/2015	Lamiaceae			0.29			1.32		2.4				0.9					ABP					Aestival	June		October	5	C3	yellow	complete;irregular	nut	dichasium	primary		Y							perfect		F/SS	F	H	0	UPL	UPL	1.3	1.5	1.4			1.4	N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Muhlenbergia cuspidata	Muhlenbergia cuspidata	Muhlenbergia cuspidata		0					Muhlenbergia cuspidata			"gravel specialist per ILPIN, IL wildflower"	MCG	9/23/2015	Poaceae			0.2793									42.67					P					Autumnal	August		October	3	C3		complete	grain	panicle	adventitious;fibrous	Y				Y				perfect	rare	G	G		0	UPL	UPL							N		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1			#N/A	#N/A
Muhlenbergia frondosa	Muhlenbergia frondosa	Muhlenbergia frondosa	muhfro	muhfro		Wire-Stem Muhly	Muehlenbergia frondosa					wetland specialist	"MG, MCG"	6/16/2015	Poaceae			0.18									0.6					P												complete	grain	panicle	adventitious;rhizomes	Y					Y			perfect	common	G	G	H	0	FACW	FACW							Y		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	** SPLICE **		#N/A	#N/A
Muhlenbergia mexicana	Muhlenbergia mexicana	Muhlenbergia mexicana	muhmex	muhmex		Mexican Muhly			Muhlenbergia mexicana			wetland specialist	"MG, MCG"	6/16/2015	Poaceae			0.37									0.91					P												complete	grain	panicle	adventitious;rhizomes	Y					Y			perfect	common	G	G	H	0	FACW	FACW	1.8	1.9	1.9			1.9	Y		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Muhlenbergia racemosa	Muhlenbergia racemosa	Muhlenbergia racemosa	mulrac	mulrac		Green Muhly		Include	Muhlenbergia racemosa	Include		"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Poaceae			0.2821		354.3	3.1						91.44					P	3				Autumnal	August	8	September	2	C4		complete	grain	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	G	G	H	0	FACW	FACU	1.8					1.8	N	N	1	1	1	1	1	1	1	1	1	0	1	2	2	0	1	0	0	0	0	0	0	0	0	1	genus	Yellow	1	
Muhlenbergia schreberi				0		Nimbleweed		Include				"0, new, under recognized savanna species"	"AH, MLeach"	9/25/2015	Poaceae			0.6048									97.54					P	3				Aestival	July	7	October	4	C4		complete	grain	panicle	adventitious;fibrous;stolons	1	0	0	0	1	0	1	0	perfect	common	G	G	H	0	FAC										1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	genus	Yellow	1	
Napaea dioica	Napaea dioica	Napaea dioica		0		Glade-Mallow			Napaea dioica			wetland specialist	"MG, MCG"	6/16/2015	Malvaceae																	P										C3	white	complete;regular	schizocarp	panicle	primary		Y							unisexual;dioecious	occasional				0	FACW	FACW	16.3	16.9	16.6			16.6	N																												#N/A	#N/A
Nassella viridula	Nassella viridula	Nassella viridula		0	Stipa viridula				Stipa viridula			"north america, rare"	MCG	7/15/2015	Poaceae			2.2571														P										C3		complete	grain	panicle	adventitious	Y								perfect	rare	G	G		0	UPL	UPL							N		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0			#N/A	#N/A
Nicotiana rustica	Nicotiana rustica	Nicotiana rustica		0					Nicotiana rustica			non native	"MG, MCG"	6/16/2015	Solanaceae																	A										C3	yellow	complete;regular;irregular	capsule	panicle;raceme	primary		Y							perfect	rare				0									N																												#N/A	#N/A
Nothocalais cuspidata	Nothocalais cuspidata	Nothocalais cuspidata		0	Agoseris cuspidata				Agoseris cuspidata			IL Endangered	MCG	7/15/2015	Asteraceae																	P					Vernal	May		June	2	C3	yellow	complete;irregular	achene	head	primary		Y							perfect	rare	F	F	H	0	UPL	UPL							N																													
Oenothera biennis	Oenothera biennis	Oenothera biennis	oenbie	oenbie		King's-Cureall	Oenothera biennis	Include	Oenothera biennis	Include	1	0			Onagraceae	UW		0.3274	256.5	14.8	2.56	42.65		282.1	0.44	112.99	109.64	7.41	0.32	2.2	3.46	B	2	hemicryptophytes	Wind	Biotic Specialized	Aestival	July	7	October	4	C3	yellow	complete;regular	capsule	raceme	primary	0	1	0	0	0	0	0	0	perfect	common	F	F	H	0	FACU	FACU	2.1			2.4	2.44	2.1	Y		1	1	1	1	1	2	1	1	1	6	1	13	6	2	1	1	0	0	1	1	1	1	1	1	seq	Yellow	1	
Oenothera macrocarpa	Oenothera macrocarpa	Oenothera macrocarpa		0					Oenothera macrocarpa			"north america, gravel specialist"	MCG	7/15/2015	Onagraceae			5.13														P										C3	yellow	complete;regular	capsule	solitary	primary		Y							perfect	rare				0									N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Have seed	#N/A	#N/A
Oenothera perennis				0	Oenothera pumila	Small Sundrops		Include				"0, new, per WI Atlas,  listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Onagraceae					487												P	3				Aestival	June	6	August	3	C3	yellow	complete;regular	capsule	raceme		0	0	0	0	0	0	0	0	perfect	rare	F	F	H	0	FAC										0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	1	1	1	1	1	0	genus	Red		
Oenothera pilosella	Oenothera pilosella	Oenothera pilosella	oenpil	oenpil		Prairie Sundrops	Oenothera pilosella	Include	Oenothera pilosella	Include	1	0			Onagraceae	TRY		0.648									60.96					P	3				Vernal	May	5	July	3	C3	yellow	complete;regular	capsule	raceme		0	0	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FAC	FAC							Y	Y	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	** SPLICE **	Green	1	1
Oenothera suffrutescens	Oenothera suffrutescens	Oenothera suffrutescens	oensuf	oensuf	Gaura coccinea				Gaura coccinea	Include		"non native to IL, sand specialist"	"MG, MCG"	9/24/2015	Onagraceae																											C3						Y										F	F	H	0									N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			#N/A	#N/A
Orbexilum onobrychis	Orbexilum onobrychis	Orbexilum onobrychis		0					orbexilum onobrychis			"N fix, uncommon"	"MG, MCG"	7/15/2015	Fabaceae																	P										C3	blue;white	complete;irregular	legume	raceme	primary;adventitious;stolons	Y	Y					Y		perfect	uncommon				1	UPL	UPL							N																												#N/A	#N/A
Oxalis stricta	Oxalis stricta	Oxalis stricta	oxastr	oxastr		Upright Yellow Wood-Sorrel	Oxalis stricta	Include		Include		0			Oxalidaceae	UW		0.1577	153	798	4.03	45.8		155	0.72	27.04	28	3.36	0.1	3.43	51.93	P	3	geophytes	Launching	Biotic Unspecialized	Aestival	June	6	October	5	C3	yellow	complete;regular	capsule	umbel	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	common	F	F	H	0	FACU	FACU	1.1					1.1	Y		0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	1	0	0	1	1	1	1	1	0	seq	Red		
Oxalis violacea	Oxalis violacea	Oxalis violacea	oxavio	oxavio		Purple Oxalis		Include	Oxalis violacea	Include		"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Oxalidaceae			0.4448									25					P	3				Vernal	April	4	June	3	C3	violet	complete;regular	capsule	umbel	primary;adventitious;bulbs	1	1	1	0	0	0	0	0	perfect	common	F	F	H	0	UPL	UPL							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
